category,product_name,brand,price,rating,rating_avg,rating_count,scrape_date
Keyboard,"60% Mechanical Gaming Keyboard,Mixed Color Keycaps Gaming Keyboard with Clicky Blue Switches, Detachable Type-C Cable Mini Keyboard with Blue LED Light for/PC/Laptop",Magegee,29.99,,,,2026-01-14
Keyboard,"Perixx PERIBOARD-512 Wired Ergonomic Split Keyboard with 7 Multimedia Keys & Integrated Wrist Rest, Black",Perixx,56.90,,4.4,15,2026-01-14
Keyboard,ASUS XA05 ROG Strix Scope RX/RD/US Mechanical Gaming Keyboard with ROG RX Red Optical Mechanical Switch,ASUS,107.18,,5.0,20,2026-01-14
Keyboard,Keyboard and Mouse Gaming LED Wired Combo with Emitting Character Keyboard 4800DPI 2 Side Button USB Mouse Rainbow Backlit Mechanical Feeling Compatible with PC Raspberry Pi Mac Xbox one ps4,Unknown,37.40,,5.0,1,2026-01-14
Keyboard,ASUS XA07 ROG Strix Flare II Animate 100% RGB Gaming Keyboard with Hot-swappable ROG NX Red Linear and Swift Switches,ASUS,214.48,,4.0,20,2026-01-14
Keyboard,"ASUS ROG Strix Scope NX TKL Moonlight White Wired Mechanical RGB Gaming Keyboard (ROG NX Brown Tactile Switches, Aluminum Frame, Aura Sync Lighting, Tenkeyless Design, Quick Toggle Media Keys)",ASUS,230.18,,4.6,29,2026-01-14
Keyboard,"SteelSeries Apex Pro TKL Wireless HyperMagnetic Gaming Keyboard — World's Fastest Keyboard — Esports Tenkeyless — OLED Screen — Adjustable Actuation — PBT Keycaps — Bluetooth — 2.4GHz — USB-C,Black",SteelSeries,384.99,,,,2026-01-14
Keyboard,Small-size Wired Numeric Keypad Num Pad 19 Keys Mini Digital Keyboard For Accounting Teller Laptop Notebook Tablets Dropshipping,Unknown,12.48,,,,2026-01-14
Keyboard,68 Keys Blue White Mechanical Gaming Keyboard 60% Keyboard Anti-Ghosting Type-C USB Wired and Wireless Bluetooth Connection mode LED Backlit Keyboard for Computer PC Laptop (Blue Switch) (Blue White),Unknown,65.68,,,,2026-01-14
Keyboard,"FANTECH MK921 Gaming Mechanical Keyboard,One Piece Edition, Wireless/Wired/BT Connection ,RBG Controls, 80 Keys, USB-C Interface, White Shaft, White Purple,Gear5",Fantech,97.99,,,,2026-01-14
Keyboard,ASUS XA05 ROG Strix Scope RX/BL/US Mechanical Gaming Keyboard with ROG NX Blue Optical Mechanical Switches,ASUS,91.66,,5.0,2,2026-01-14
Keyboard,"Ergonomic Wireless Keyboard with Wrist Rest, Wave Keys, Comfortable Natural Typing, 2.4GHz Ergo Wireless USB Computer Keyboard for Multi-OS, Windows, Mac OS, Laptop, PC (Black)",Unknown,54.99,,,,2026-01-14
Keyboard,Keyboard for ThinkPad T400S T410 T420 T510 Pointer with Layout,Unknown,29.99,,,,2026-01-14
Mouse,"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",Logitech,35.99,,4.2,,2026-01-14
Mouse,Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,Unknown,34.99,,4.6,,2026-01-14
Mouse,Razer Basilisk V3 Pro Customizable Wireless Gaming Mouse with Razer HyperScroll Tilt Wheel,Unknown,99.00,,5.0,,2026-01-14
Mouse,"Redragon M908 Impact RGB Gaming Mouse, 12400 DPI Wired Laser MMO Mouse with High Precision Actuation, 12 Macro Side Buttons and 16.8 Million Customized Breathing Backlight for PC/Laptop",Unknown,36.99,,4.1,,2026-01-14
Mouse,Razer Viper V3 Pro Ultra-lightweight Wireless Symmetrical Esports Gaming Mouse,Unknown,129.99,,5.0,,2026-01-14
